LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
75.770228,-44.159243,45806.3546,2941.06,3427.8673,2002051801001,556.86,3497.93,1
75.770165,-44.158759,45806.4526,2941.31,3427.8792,2002051801001,556.88,3498.19,1
75.770103,-44.158276,45806.5505,2941.43,3427.8942,2002051801001,556.89,3498.32,1
75.770040,-44.157792,45806.6484,2941.43,3427.9120,2002051801001,556.91,3498.33,1
75.769978,-44.157309,45806.7463,2941.40,3427.9298,2002051801001,556.93,3498.33,1
75.769915,-44.156825,45806.8442,2941.37,3427.9476,2002051801001,556.95,3498.32,1
75.769853,-44.156342,45806.9421,2941.34,3427.9655,2002051801001,556.97,3498.30,1
75.769790,-44.155858,45807.0400,2941.31,3427.9834,2002051801001,556.98,3498.29,1
75.769728,-44.155375,45807.1380,2941.28,3428.0014,2002051801001,557.00,3498.28,1
75.769665,-44.154892,45807.2359,2941.26,3428.0194,2002051801001,556.99,3498.25,1
75.769603,-44.154408,45807.3338,2941.30,3428.0374,2002051801001,556.88,3498.18,1
75.769541,-44.153925,45807.4318,2941.36,3428.0554,2002051801001,556.75,3498.11,1
75.769478,-44.153441,45807.5297,2941.39,3428.0733,2002051801001,556.63,3498.02,1
75.769416,-44.152958,45807.6276,2941.43,3428.0907,2002051801001,556.50,3497.93,1
75.769353,-44.152474,45807.7255,2941.50,3428.1081,2002051801001,556.37,3497.88,1
75.769291,-44.151991,45807.8234,2941.61,3428.1256,2002051801001,556.24,3497.85,1
75.769228,-44.151507,45807.9213,2941.73,3428.1430,2002051801001,556.16,3497.88,1
75.769166,-44.151024,45808.0192,2941.82,3428.1597,2002051801001,556.16,3497.97,1
75.769103,-44.150541,45808.1172,2941.91,3428.1732,2002051801001,556.17,3498.09,1
75.769041,-44.150057,45808.2151,2942.03,3428.1867,2002051801001,556.19,3498.22,1
75.768978,-44.149574,45808.3131,2942.18,3428.2002,2002051801001,556.20,3498.38,1
75.768916,-44.149090,45808.4110,2942.35,3428.2137,2002051801001,556.22,3498.57,1
75.768853,-44.148607,45808.5089,2942.53,3428.2271,2002051801001,556.23,3498.77,1
75.768791,-44.148124,45808.6068,2942.73,3428.2392,2002051801001,556.23,3498.96,1
75.768728,-44.147641,45808.7047,2942.94,3428.2514,2002051801001,556.25,3499.19,1
75.768665,-44.147158,45808.8026,2943.20,3428.2635,2002051801001,556.26,3499.47,1
75.768603,-44.146675,45808.9005,2943.50,3428.2757,2002051801001,556.28,3499.77,1
75.768540,-44.146192,45808.9984,2943.82,3428.2878,2002051801001,556.29,3500.11,1
75.768478,-44.145708,45809.0963,2944.16,3428.3032,2002051801001,556.31,3500.46,1
75.768415,-44.145225,45809.1943,2944.51,3428.3187,2002051801001,556.32,3500.83,1
75.768353,-44.144742,45809.2922,2944.86,3428.3342,2002051801001,556.34,3501.20,1
75.768290,-44.144258,45809.3901,2945.21,3428.3496,2002051801001,556.35,3501.56,1
75.768228,-44.143775,45809.4881,2945.55,3428.3651,2002051801001,556.37,3501.92,1
75.768165,-44.143291,45809.5860,2945.87,3428.3828,2002051801001,556.38,3502.26,1
75.768103,-44.142808,45809.6840,2946.21,3428.4009,2002051801001,556.40,3502.61,1
75.768040,-44.142325,45809.7820,2946.60,3428.4189,2002051801001,556.41,3503.01,1
75.767978,-44.141841,45809.8799,2946.99,3428.4369,2002051801001,556.44,3503.43,1
75.767915,-44.141358,45809.9779,2947.40,3428.4549,2002051801001,556.46,3503.85,1
75.767852,-44.140875,45810.0758,2947.77,3428.4698,2002051801001,556.47,3504.24,1
75.767790,-44.140392,45810.1737,2948.10,3428.4837,2002051801001,556.49,3504.59,1
75.767727,-44.139909,45810.2716,2948.39,3428.4976,2002051801001,556.50,3504.89,1
75.767665,-44.139426,45810.3695,2948.60,3428.5115,2002051801001,556.52,3505.12,1
75.767602,-44.138943,45810.4674,2948.74,3428.5254,2002051801001,556.53,3505.28,1
75.767539,-44.138460,45810.5653,2948.79,3428.5360,2002051801001,556.53,3505.33,1
75.767477,-44.137977,45810.6632,2948.84,3428.5450,2002051801001,556.40,3505.24,1
75.767414,-44.137494,45810.7610,2948.86,3428.5540,2002051801001,556.22,3505.08,1
75.767351,-44.137011,45810.8589,2948.85,3428.5630,2002051801001,556.05,3504.90,1
75.767289,-44.136528,45810.9568,2948.81,3428.5720,2002051801001,555.90,3504.71,1
75.767226,-44.136045,45811.0548,2948.72,3428.5798,2002051801001,555.78,3504.50,1
75.767164,-44.135562,45811.1527,2948.59,3428.5867,2002051801001,555.68,3504.27,1
75.767101,-44.135078,45811.2507,2948.44,3428.5935,2002051801001,555.60,3504.05,1
75.767039,-44.134595,45811.3486,2948.23,3428.6004,2002051801001,555.60,3503.84,1
75.766976,-44.134112,45811.4466,2948.02,3428.6073,2002051801001,555.61,3503.62,1
75.766914,-44.133628,45811.5445,2947.78,3428.6171,2002051801001,555.62,3503.40,1
75.766851,-44.133145,45811.6424,2947.52,3428.6304,2002051801001,555.63,3503.16,1
75.766788,-44.132662,45811.7403,2947.20,3428.6437,2002051801001,555.65,3502.85,1
75.766726,-44.132179,45811.8382,2946.80,3428.6570,2002051801001,555.66,3502.47,1
75.766663,-44.131696,45811.9361,2946.35,3428.6703,2002051801001,555.67,3502.02,1
75.766600,-44.131214,45812.0340,2945.86,3428.6844,2002051801001,555.68,3501.54,1
75.766538,-44.130731,45812.1318,2945.34,3428.6998,2002051801001,555.69,3501.04,1
75.766475,-44.130248,45812.2297,2944.83,3428.7153,2002051801001,555.72,3500.55,1
75.766412,-44.129765,45812.3276,2944.36,3428.7308,2002051801001,555.73,3500.08,1
75.766350,-44.129282,45812.4255,2943.93,3428.7462,2002051801001,555.75,3499.68,1
75.766287,-44.128799,45812.5234,2943.57,3428.7614,2002051801001,555.77,3499.34,1
75.766225,-44.128315,45812.6214,2943.30,3428.7757,2002051801001,555.78,3499.08,1
75.766162,-44.127832,45812.7193,2943.07,3428.7900,2002051801001,555.79,3498.86,1
75.766100,-44.127349,45812.8173,2942.88,3428.8043,2002051801001,555.80,3498.67,1
75.766037,-44.126865,45812.9152,2942.69,3428.8186,2002051801001,555.81,3498.50,1
75.765975,-44.126382,45813.0131,2942.52,3428.8325,2002051801001,555.83,3498.34,1
75.765912,-44.125899,45813.1111,2942.36,3428.8437,2002051801001,555.84,3498.20,1
75.765849,-44.125416,45813.2090,2942.20,3428.8548,2002051801001,555.86,3498.06,1
75.765787,-44.124933,45813.3069,2942.10,3428.8660,2002051801001,555.79,3497.88,1
75.765724,-44.124450,45813.4048,2942.02,3428.8771,2002051801001,555.66,3497.68,1
75.765661,-44.123968,45813.5027,2941.92,3428.8883,2002051801001,555.52,3497.44,1
75.765599,-44.123485,45813.6006,2941.81,3428.8981,2002051801001,555.39,3497.19,1
75.765536,-44.123002,45813.6985,2941.69,3428.9078,2002051801001,555.24,3496.93,1
75.765473,-44.122519,45813.7964,2941.56,3428.9176,2002051801001,555.10,3496.67,1
75.765411,-44.122036,45813.8943,2941.43,3428.9274,2002051801001,554.97,3496.40,1
75.765348,-44.121553,45813.9921,2941.23,3428.9372,2002051801001,554.95,3496.18,1
75.765285,-44.121070,45814.0900,2941.03,3428.9499,2002051801001,554.95,3495.97,1
75.765223,-44.120587,45814.1880,2940.83,3428.9628,2002051801001,554.96,3495.78,1
75.765160,-44.120104,45814.2859,2940.66,3428.9757,2002051801001,554.97,3495.64,1
75.765097,-44.119621,45814.3838,2940.54,3428.9887,2002051801001,554.99,3495.53,1
75.765035,-44.119138,45814.4817,2940.44,3429.0016,2002051801001,555.00,3495.44,1
75.764972,-44.118655,45814.5796,2940.36,3429.0161,2002051801001,555.02,3495.38,1
75.764910,-44.118172,45814.6776,2940.30,3429.0310,2002051801001,555.03,3495.34,1
