DATE,TIME,AIRTEMP_2M_C,RH_2M_%,PPFD_UMOLS_M-2_S-1,RAIN_MM,LATITUDE,LONGITUDE
6/9/2013,0:00,10.72,50.56,64.6,0,68.01,-146.9889
6/9/2013,1:00,7.79,68.23,34.7,0,68.01,-146.9889
6/9/2013,2:00,5.5,73.02,21.1,0,68.01,-146.9889
6/9/2013,3:00,3.67,75.29,25.4,0,68.01,-146.9889
6/9/2013,4:00,2.71,83.7,40.6,0,68.01,-146.9889
6/9/2013,5:00,2.63,80,76.7,0,68.01,-146.9889
6/9/2013,6:00,4.87,73.21,177.4,0,68.01,-146.9889
6/9/2013,7:00,7.43,56.58,144.9,0,68.01,-146.9889
6/9/2013,8:00,10.87,47.66,437,0,68.01,-146.9889
6/9/2013,9:00,12.79,45.84,679.2,0,68.01,-146.9889
6/9/2013,10:00,11.23,49.44,316.8,0,68.01,-146.9889
6/9/2013,12:00,13.32,48.72,913,0,68.01,-146.9889
6/9/2013,13:00,13.67,45.87,1379,0,68.01,-146.9889
6/9/2013,14:00,14.22,40.2,1557,0,68.01,-146.9889
6/9/2013,15:00,14.3,42.38,1560,0,68.01,-146.9889
6/9/2013,16:00,13.99,36.13,1396,0,68.01,-146.9889
6/9/2013,17:00,13.54,36.13,1277,0,68.01,-146.9889
6/9/2013,18:00,12.84,37.37,1039,0,68.01,-146.9889
6/9/2013,19:00,11.62,40.07,635.4,0,68.01,-146.9889
6/9/2013,20:00,11.46,38.74,635,0,68.01,-146.9889
6/9/2013,21:00,11.33,45.91,524.5,0,68.01,-146.9889
6/9/2013,22:00,10.03,46.3,316.6,0,68.01,-146.9889
6/9/2013,23:00,8.95,56.15,105.9,0,68.01,-146.9889
6/10/2013,0:00,7.55,64.42,41.1,0,68.01,-146.9889
6/10/2013,1:00,6.25,67.92,19.7,0,68.01,-146.9889
6/10/2013,2:00,5.76,67.16,14.9,0,68.01,-146.9889
6/10/2013,3:00,4.92,67.02,13.3,0,68.01,-146.9889
6/10/2013,4:00,4.53,68.32,29.4,0,68.01,-146.9889
6/10/2013,5:00,4.11,71.35,61.4,0,68.01,-146.9889
6/10/2013,6:00,4.69,66.74,172.2,0,68.01,-146.9889
6/10/2013,7:00,5.24,60.4,118.8,0,68.01,-146.9889
6/10/2013,8:00,7.34,55.02,442.1,0,68.01,-146.9889
6/10/2013,9:00,8.05,59.43,508.9,0,68.01,-146.9889
6/10/2013,10:00,8.88,68.62,599.7,0,68.01,-146.9889
6/10/2013,11:00,5.8,76.87,431.8,0,68.01,-146.9889
6/10/2013,12:00,6.84,68.95,496.3,0,68.01,-146.9889
6/10/2013,13:00,5.04,77.1,504.4,0,68.01,-146.9889
6/10/2013,14:00,8.09,54.04,776.8,0,68.01,-146.9889
6/10/2013,15:00,8.96,49.15,918,0,68.01,-146.9889
6/10/2013,16:00,9.78,43.89,1182,0,68.01,-146.9889
6/10/2013,17:00,9.2,44.62,656.1,0,68.01,-146.9889
6/10/2013,18:00,8.86,45.13,449,0,68.01,-146.9889
6/10/2013,19:00,9.48,40.58,631.4,0,68.01,-146.9889
6/10/2013,20:00,9.69,42.64,721.4,0,68.01,-146.9889
6/10/2013,21:00,8.4,46.03,426.6,0,68.01,-146.9889
6/10/2013,22:00,8.43,49.28,315,0,68.01,-146.9889
6/10/2013,23:00,7.53,55.99,136.4,0,68.01,-146.9889
6/11/2013,0:00,5.93,63.94,69.9,0,68.01,-146.9889
6/11/2013,1:00,3.67,75.96,32.2,0,68.01,-146.9889
6/11/2013,2:00,2.33,79.08,23.4,0,68.01,-146.9889
6/11/2013,3:00,0.21,89.4,25.6,0,68.01,-146.9889
6/11/2013,4:00,-1.1,89.1,38.4,0,68.01,-146.9889
6/11/2013,5:00,-1.27,89.2,89.5,0,68.01,-146.9889
6/11/2013,6:00,1.24,76.66,229.5,0,68.01,-146.9889
6/11/2013,7:00,3.27,68.31,124.1,0,68.01,-146.9889
6/11/2013,8:00,5.61,58.89,498.5,0,68.01,-146.9889
6/11/2013,9:00,8.26,51.93,800,0,68.01,-146.9889
6/11/2013,10:00,9.88,46.78,710,0,68.01,-146.9889
6/11/2013,11:00,11.78,39.76,1044,0,68.01,-146.9889
