LAT,LON,TIME,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
69.293683,-49.205542,65892.8389,761.27,1069.0000,2005052202001,-72.30,688.97,0
69.293655,-49.205543,65892.9093,762.66,1069.0000,2005052202001,-72.32,690.35,0
69.293628,-49.205544,65892.9797,764.00,1069.0000,2005052202001,-72.33,691.67,0
69.293601,-49.205544,65893.0500,765.21,1069.0000,2005052202001,-72.34,692.87,0
69.293574,-49.205545,65893.1202,766.27,1069.0000,2005052202001,-72.35,693.92,0
69.293547,-49.205547,65893.1904,767.15,1069.0000,2005052202001,-72.36,694.79,0
69.293520,-49.205548,65893.2606,767.82,1069.0000,2005052202001,-72.36,695.46,0
69.293492,-49.205549,65893.3309,768.29,1069.0000,2005052202001,-72.36,695.94,0
69.293465,-49.205550,65893.4011,768.59,1068.9649,2005052202001,-72.35,696.25,0
69.293438,-49.205551,65893.4713,768.75,1068.8356,2005052202001,-72.33,696.42,0
69.293411,-49.205552,65893.5413,768.80,1068.7062,2005052202001,-72.30,696.49,0
69.293384,-49.205554,65893.6113,768.79,1068.5768,2005052202001,-72.27,696.52,0
69.293357,-49.205555,65893.6813,768.76,1068.4474,2005052202001,-72.23,696.53,0
69.293329,-49.205557,65893.7512,768.75,1068.3180,2005052202001,-72.17,696.58,0
69.293302,-49.205558,65893.8212,768.79,1068.1886,2005052202001,-72.10,696.69,0
69.293275,-49.205560,65893.8912,768.89,1068.0593,2005052202001,-72.02,696.88,0
69.293248,-49.205561,65893.9611,769.05,1068.0000,2005052202001,-71.92,697.13,0
69.293221,-49.205563,65894.0310,769.25,1068.0000,2005052202001,-71.81,697.45,0
69.293194,-49.205565,65894.1008,769.47,1068.0000,2005052202001,-71.68,697.79,0
69.293166,-49.205566,65894.1706,769.68,1068.0000,2005052202001,-71.54,698.14,0
69.293139,-49.205568,65894.2403,769.83,1068.0000,2005052202001,-71.38,698.45,0
69.293112,-49.205570,65894.3101,769.89,1068.0000,2005052202001,-71.20,698.69,0
69.293085,-49.205572,65894.3799,769.83,1068.0000,2005052202001,-71.01,698.82,0
69.293058,-49.205574,65894.4497,769.62,1068.0000,2005052202001,-70.80,698.82,0
69.293031,-49.205576,65894.5194,769.26,1067.8948,2005052202001,-70.57,698.69,0
69.293003,-49.205578,65894.5889,768.75,1067.7654,2005052202001,-70.33,698.42,0
69.292976,-49.205581,65894.6584,768.11,1067.6360,2005052202001,-70.08,698.03,0
69.292949,-49.205583,65894.7280,767.37,1067.5067,2005052202001,-69.82,697.55,0
69.292922,-49.205586,65894.7975,766.55,1067.3773,2005052202001,-69.55,697.01,0
69.292895,-49.205588,65894.8670,765.72,1067.2479,2005052202001,-69.27,696.45,0
69.292868,-49.205590,65894.9365,764.90,1067.1185,2005052202001,-68.98,695.92,0
69.292840,-49.205593,65895.0060,764.15,1066.9891,2005052202001,-68.69,695.45,0
69.292813,-49.205595,65895.0753,763.49,1066.8597,2005052202001,-68.41,695.08,0
69.292786,-49.205598,65895.1446,762.95,1066.7304,2005052202001,-68.12,694.83,0
69.292759,-49.205601,65895.2139,762.54,1066.6010,2005052202001,-67.83,694.71,0
69.292732,-49.205604,65895.2831,762.27,1066.4716,2005052202001,-67.55,694.71,0
69.292705,-49.205607,65895.3524,762.11,1066.3422,2005052202001,-67.28,694.83,0
69.292678,-49.205610,65895.4217,762.05,1066.2128,2005052202001,-67.02,695.03,0
69.292650,-49.205613,65895.4910,762.07,1066.0834,2005052202001,-66.77,695.30,0
69.292623,-49.205616,65895.5600,762.12,1066.0000,2005052202001,-66.53,695.59,0
69.292596,-49.205619,65895.6290,762.18,1066.0000,2005052202001,-66.31,695.88,0
69.292569,-49.205623,65895.6981,762.22,1066.0000,2005052202001,-66.10,696.12,0
69.292542,-49.205626,65895.7671,762.21,1066.0000,2005052202001,-65.90,696.31,0
69.292515,-49.205630,65895.8361,762.15,1066.0000,2005052202001,-65.72,696.43,0
69.292487,-49.205633,65895.9051,762.03,1066.0000,2005052202001,-65.56,696.47,0
69.292460,-49.205637,65895.9741,761.85,1066.0000,2005052202001,-65.42,696.43,0
69.292433,-49.205640,65896.0430,761.63,1066.0000,2005052202001,-65.29,696.34,0
69.292406,-49.205644,65896.1118,761.39,1065.9190,2005052202001,-65.18,696.21,0
69.292379,-49.205648,65896.1805,761.15,1065.7896,2005052202001,-65.08,696.07,0
69.292352,-49.205652,65896.2493,760.94,1065.6602,2005052202001,-65.00,695.94,0
69.292325,-49.205656,65896.3180,760.79,1065.5308,2005052202001,-64.93,695.86,0
69.292298,-49.205661,65896.3868,760.72,1065.4015,2005052202001,-64.87,695.84,0
69.292270,-49.205665,65896.4555,760.74,1065.2721,2005052202001,-64.83,695.91,0
69.292243,-49.205669,65896.5242,760.86,1065.1427,2005052202001,-64.79,696.07,0
69.292216,-49.205673,65896.5926,761.08,1065.0133,2005052202001,-64.76,696.31,0
69.292189,-49.205678,65896.6611,761.39,1064.8839,2005052202001,-64.75,696.64,0
69.292162,-49.205683,65896.7295,761.77,1064.7545,2005052202001,-64.73,697.03,0
69.292135,-49.205687,65896.7980,762.20,1064.6252,2005052202001,-64.72,697.47,0
69.292108,-49.205692,65896.8664,762.64,1064.4958,2005052202001,-64.72,697.92,0
69.292080,-49.205697,65896.9348,763.09,1064.3664,2005052202001,-64.72,698.36,0
69.292053,-49.205701,65897.0033,763.49,1064.2370,2005052202001,-64.72,698.77,0
69.292026,-49.205707,65897.0713,763.84,1064.1076,2005052202001,-64.73,699.11,0
69.291999,-49.205712,65897.1394,764.10,1063.9782,2005052202001,-64.74,699.36,0
69.291972,-49.205717,65897.2074,764.27,1063.8489,2005052202001,-64.74,699.52,0
69.291945,-49.205722,65897.2755,764.33,1063.7195,2005052202001,-64.75,699.58,0
69.291918,-49.205728,65897.3436,764.29,1063.5901,2005052202001,-64.76,699.54,0
69.291891,-49.205733,65897.4116,764.16,1063.4607,2005052202001,-64.76,699.39,0
69.291864,-49.205738,65897.4797,763.94,1063.3313,2005052202001,-64.77,699.17,0
69.291836,-49.205744,65897.5475,763.65,1063.2019,2005052202001,-64.77,698.87,0
69.291809,-49.205749,65897.6153,763.31,1063.0726,2005052202001,-64.78,698.53,0
69.291782,-49.205755,65897.6830,762.94,1062.9432,2005052202001,-64.78,698.16,0
69.291755,-49.205761,65897.7508,762.56,1062.8138,2005052202001,-64.78,697.78,0
69.291728,-49.205766,65897.8185,762.20,1062.6844,2005052202001,-64.79,697.41,0
69.291701,-49.205772,65897.8863,761.86,1062.5550,2005052202001,-64.79,697.08,0
69.291674,-49.205778,65897.9540,761.56,1062.4256,2005052202001,-64.78,696.78,0
69.291647,-49.205783,65898.0217,761.31,1062.2963,2005052202001,-64.78,696.53,0
69.291620,-49.205789,65898.0892,761.11,1062.1669,2005052202001,-64.78,696.33,0
69.291593,-49.205795,65898.1566,760.95,1062.0375,2005052202001,-64.77,696.18,0
69.291565,-49.205800,65898.2241,760.85,1061.9081,2005052202001,-64.77,696.08,0
69.291538,-49.205806,65898.2916,760.79,1061.7787,2005052202001,-64.76,696.03,0
69.291511,-49.205812,65898.3590,760.77,1061.6494,2005052202001,-64.76,696.01,0
69.291484,-49.205817,65898.4265,760.78,1061.5200,2005052202001,-64.75,696.03,0
69.291457,-49.205823,65898.4940,760.81,1061.3906,2005052202001,-64.74,696.07,0
69.291430,-49.205829,65898.5613,760.87,1061.2612,2005052202001,-64.73,696.14,0
69.291403,-49.205834,65898.6285,760.95,1061.1318,2005052202001,-64.73,696.22,0
69.291376,-49.205840,65898.6958,761.04,1061.0024,2005052202001,-64.72,696.31,0
69.291349,-49.205845,65898.7630,761.15,1060.8731,2005052202001,-64.72,696.43,0
69.291322,-49.205850,65898.8303,761.28,1060.7437,2005052202001,-64.72,696.55,0
69.291294,-49.205856,65898.8976,761.43,1060.6143,2005052202001,-64.73,696.70,0
69.291267,-49.205861,65898.9648,761.60,1060.4849,2005052202001,-64.74,696.86,0
69.291240,-49.205867,65899.0320,761.80,1060.3555,2005052202001,-64.75,697.04,0
69.291213,-49.205871,65899.0991,762.02,1060.2261,2005052202001,-64.77,697.24,0
69.291186,-49.205876,65899.1661,762.27,1060.0968,2005052202001,-64.81,697.46,0
69.291159,-49.205881,65899.2332,762.54,1059.9674,2005052202001,-64.85,697.69,0
69.291132,-49.205886,65899.3003,762.82,1059.8380,2005052202001,-64.90,697.92,0
69.291105,-49.205891,65899.3674,763.11,1059.7086,2005052202001,-64.96,698.15,0
69.291078,-49.205896,65899.4344,763.40,1059.5792,2005052202001,-65.03,698.37,0
