Latitude,Longitude,Time,Thick,Elevation,Frame,Surface,Bottom,Quality,Date
-64.169856,-57.843022,65594.03,279.49,2194.94,2.00E+12,1191.67,1471.16,0,2002.12.28
-64.170426,-57.840558,65595.03,279.21,2194,2.00E+12,1183.26,1462.47,0,2002.12.28
-75.10932,-101.94479,66008.22,231.56,2680.44,2.00E+12,2870.15,3101.71,0,2002.11.28
-75.110545,-101.946145,66009.22,224.79,2681,2.00E+12,2870.75,3095.54,0,2002.11.28
-75.11174,-101.947567,66010.22,260.75,2682,2.00E+12,2842.85,3103.61,0,2002.11.28
-75.112923,-101.949068,66011.22,296.13,2683,2.00E+12,2817.95,3114.08,0,2002.11.28
-75.114091,-101.95065,66012.22,302.81,2684,2.00E+12,2820.87,3123.68,0,2002.11.28
-73.73443,-93.441036,65948.07,1515.93,3133.58,2.00E+12,2056.96,3572.89,0,2002.12.4
-73.735711,-93.443955,65949.07,1522.89,3127.72,2.00E+12,2045.35,3568.25,0,2002.12.4
-73.736999,-93.446893,65950.07,1508.61,3122.72,2.00E+12,2036.41,3545.02,0,2002.12.4
-73.738281,-93.449814,65951.07,1516.89,3117.58,2.00E+12,2028.58,3545.47,0,2002.12.4
-73.739556,-93.45272,65952.07,1520.92,3111.44,2.00E+12,2020.4,3541.32,0,2002.12.4
-74.445965,-91.458281,64861.59,1591.96,5833.64,2.00E+12,4996.04,6588,0,2002.12.06
-74.447462,-91.46142,64862.59,1581.49,5829.64,2.00E+12,4993.54,6575.03,0,2002.12.06
-74.448956,-91.464577,64863.6,1558.96,5825.6,2.00E+12,4991.31,6550.27,0,2002.12.06
-74.450457,-91.467775,64864.6,1544.71,5822.6,2.00E+12,4989.53,6534.24,0,2002.12.06
-65.572374,-63.515432,62614.49,300.22,2122.9,2.00E+12,562.15,862.37,0,2002.12.10
-65.573202,-63.513728,62615.49,307.36,2133.88,2.00E+12,564.17,871.54,0,2002.12.10
-65.574024,-63.512023,62616.49,310.91,2143.8999,2.00E+12,566.08,876.99,0,2002.12.10
-75.117511,-101.955883,66015.22,310.65,2684,2.00E+12,2834.05,3144.7,0,2002.12.12
-75.118622,-101.957791,66016.24,324.45,2683,2.00E+12,2834.07,3158.52,0,2002.12.12
-75.119732,-101.959813,66017.22,326.61,2683,2.00E+12,2830.67,3157.28,0,2002.12.12
-72.076519,-67.979036,72428.2075,283.18,857,2.00E+12,3.28,286.45,0,2004.11.18
-72.076492,-67.979016,72428.2314,283.71,857,2.00E+12,2.33,286.04,0,2004.11.18
-72.076466,-67.978996,72428.2553,284.23,857,2.00E+12,1.4,285.63,0,2004.11.18
-72.076439,-67.978976,72428.2792,284.73,857,2.00E+12,0.51,285.24,0,2004.11.18
-72.076413,-67.978956,72428.3031,285.22,857,2.00E+12,-0.36,284.86,0,2004.11.18
-72.634313,-89.866421,69064.7913,241.71,7732,2.00E+12,-24.06,217.64,0,2004.11.21
-72.634567,-89.867058,69064.9963,240.5,7732,2.00E+12,-24.06,216.44,0,2004.11.21
-72.634821,-89.867695,69065.2013,239.52,7732,2.00E+12,-24.06,215.46,0,2004.11.21
-72.635076,-89.868332,69065.4064,238.79,7732,2.00E+12,-24.06,214.73,0,2004.11.21
-72.63533,-89.86897,69065.6114,238.31,7732,2.00E+12,-24.06,214.25,0,2004.11.21
-71.857401,-98.771878,69365.3375,311.53,883.7874,2.00E+12,-82.45,229.08,0,2004.11.27
-71.857428,-98.771877,69365.3679,311.38,883.7305,2.00E+12,-82.51,228.87,0,2004.11.27
-71.857455,-98.771876,69365.3983,311.25,883.6736,2.00E+12,-82.56,228.69,0,2004.11.27
-71.857482,-98.771875,69365.4287,311.15,883.6166,2.00E+12,-82.61,228.54,0,2004.11.27
-71.857509,-98.771874,69365.4591,311.09,883.5597,2.00E+12,-82.66,228.43,0,2004.11.27
-64.871927,-62.15132,68005.9045,349.69,2440.3467,2.00E+12,-646.71,-297.02,0,2004.11.29
-64.871893,-62.151538,68006.0065,351.02,2440.5503,2.00E+12,-646.98,-295.96,0,2004.11.29
-64.87186,-62.151756,68006.1084,352.38,2440.7539,2.00E+12,-647.24,-294.86,0,2004.11.29
-64.871827,-62.151974,68006.2104,353.78,2440.9575,2.00E+12,-647.51,-293.73,0,2004.11.29
-64.871794,-62.152192,68006.3123,355.2,2441.3222,2.00E+12,-647.77,-292.57,0,2004.11.29
-79.475391,-112.101992,-7028.0353,3418.97,1802.1549,2.01E+12,0,3418.97,0,2006.10.3
-79.475626,-112.102545,-7025.8448,3418.93,1802.2167,2.01E+12,0,3418.93,0,2006.10.3
-79.475864,-112.103057,-7023.6514,3418.99,1802.2051,2.01E+12,0,3418.99,0,2006.10.3
-79.476104,-112.103537,-7021.4585,3419.2,1802.1122,2.01E+12,0,3419.2,0,2006.10.3
-79.476346,-112.103988,-7019.2634,3419.73,1802.0788,2.01E+12,0,3419.73,0,2006.10.3
-79.47656,-112.051745,-3871.0568,3435.92,1807.4038,2.01E+12,0,3435.92,0,2006.10.4
-79.47682,-112.052194,-3869.0642,3435.92,1807.4297,2.01E+12,0,3435.92,0,2006.10.4
-79.477077,-112.052677,-3867.0732,3435.92,1807.4125,2.01E+12,0,3435.92,0,2006.10.4
-79.477331,-112.053215,-3865.0825,3435.92,1807.429,2.01E+12,0,3435.92,0,2006.10.4
-79.477582,-112.053796,-3863.088,3435.92,1807.4499,2.01E+12,0,3435.92,0,2006.10.4
-79.469363,-112.193825,-2418.5262,3447.84,1808.4327,2.01E+12,0,3447.84,0,2006.10.5
-79.469614,-112.194392,-2416.5357,3448.39,1808.295,2.01E+12,0,3448.39,0,2006.10.5
-79.46987,-112.194891,-2414.5425,3448.69,1808.3806,2.01E+12,0,3448.69,0,2006.10.5
-79.470126,-112.195389,-2412.5545,3449.04,1808.2947,2.01E+12,0,3449.04,0,2006.10.5
-79.470382,-112.195896,-2410.5645,3449.62,1807.0496,2.01E+12,0,3449.62,0,2006.10.5
-79.484246,-111.962888,-1539.3782,3415.33,1801.6239,2.01E+12,0,3415.33,0,2006.10.6
-79.484502,-111.963391,-1537.3856,3414.92,1801.5925,2.01E+12,0,3414.92,0,2006.10.6
-79.484756,-111.963912,-1535.3972,3414.81,1801.654,2.01E+12,0,3414.81,0,2006.10.6
-79.485013,-111.96441,-1533.3981,3414.79,1801.6423,2.01E+12,0,3414.79,0,2006.10.6
-79.485269,-111.964897,-1531.4157,3414.79,1801.649,2.01E+12,0,3414.79,0,2006.10.6
-79.478869,-112.108782,-2662.7434,3461.29,1802.9054,2.01E+12,0,3461.29,0,2006.10.7
-79.479123,-112.109317,-2660.7552,3461.29,1802.7848,2.01E+12,0,3461.29,0,2006.10.7
-79.479376,-112.109857,-2658.7661,3461.29,1802.7128,2.01E+12,0,3461.29,0,2006.10.7
-79.47963,-112.11039,-2656.7776,3461.26,1802.6732,2.01E+12,0,3461.26,0,2006.10.7
-73.535877,-108.767089,58019.6524,0,6143.8576,2.01E+12,6074.14,6074.14,1,2009.16.10
-73.535931,-108.767426,58019.728,0,6143.4668,2.01E+12,6074.07,6074.07,1,2009.16.10
-73.873989,-102.92146,55830.1004,0,1764.1322,2.01E+12,1787.32,1787.32,1,2009.10.18
-73.874036,-102.921815,55830.1768,0,1763.6096,2.01E+12,1786.68,1786.68,1,2009.10.18
-73.913672,-94.203792,54679.8505,807.33,10246.1487,2.01E+12,8924.25,9731.58,1,2009.10.20
-73.913773,-94.204111,54679.917,814.42,10246.1483,2.01E+12,8917.56,9731.98,1,2009.10.20
-75.216179,-83.988985,59816.4211,525.2,10159.3909,2.01E+12,9160.13,9685.33,3,2009.10.25
-75.216284,-83.989113,59816.4744,525.98,10159.383,2.01E+12,9160.17,9686.15,3,2009.10.25
-74.523178,-83.130579,54099.8305,1738.23,2940.9615,2.01E+12,1783.18,3521.42,1,2009.10.29
-74.523285,-83.130668,54099.8924,1738.04,2940.1513,2.01E+12,1782.58,3520.62,1,2009.10.29
-68.239223,-68.39067,50713.2315,6.6,1247.2199,2.01E+12,1232.22,1238.82,1,2009.10.31
-68.23933,-68.390637,50713.3184,6.23,1246.4625,2.01E+12,1232.25,1238.48,1,2009.10.31
-73.817424,-94.643666,59378.1344,1459.1,6883.8819,2.01E+12,5570.25,7029.34,1,2009.11.2
-73.81751,-94.64391,59378.19,1459.77,6883.2498,2.01E+12,5570.19,7029.95,1,2009.11.2
-72.672428,-87.358116,60654.3122,0,1050.6663,2.01E+12,1058.42,1058.42,1,2009.11.3
-72.672533,-87.358203,60654.4063,0,1050.2972,2.01E+12,1058.42,1058.42,1,2009.11.3
-72.549751,-89.904494,62902.5658,15.11,2691.3799,2.01E+12,2698.47,2713.58,1,2009.11.12
-72.549857,-89.904619,62902.6582,15.32,2690.9633,2.01E+12,2697.88,2713.2,1,2009.11.12
-67.441267,-60.615752,80980.6332,0,491.3733,2.01E+12,478.27,478.27,1,2009.11.16
-67.441279,-60.615468,80980.7094,0,491.3768,2.01E+12,478.27,478.27,1,2009.11.16
112.18,475.5817,2.01E+12,,,,,,,2010.10.26
112.18,475.5826,2.01E+12,,,,,,,2010.10.26
112.18,475.5836,2.01E+12,,,,,,,2010.10.26
112.18,475.5846,2.01E+12,,,,,,,2010.10.26
112.18,475.5856,2.01E+12,,,,,,,2010.10.26
109.36,475.5867,2.01E+12,,,,,,,2010.10.26
109.36,475.5878,2.01E+12,,,,,,,2010.10.26
109.36,475.5889,2.01E+12,,,,,,,2010.10.26
109.36,475.59,2.01E+12,,,,,,,2010.10.26
109.36,475.5912,2.01E+12,,,,,,,2010.10.26
2226.97,10812.4521,2.01E+12,,,,,,,2010.11.04
2226,10812.4504,2.01E+12,,,,,,,2010.11.04
2225.03,10812.4488,2.01E+12,,,,,,,2010.11.04
2224.06,10812.4473,2.01E+12,,,,,,,2010.11.04
2223.09,10812.4457,2.01E+12,,,,,,,2010.11.04
2222.12,10812.4442,2.01E+12,,,,,,,2010.11.04
2221.15,10812.4427,2.01E+12,,,,,,,2010.11.04
2220.18,10812.4413,2.01E+12,,,,,,,2010.11.04
2219.21,10812.4399,2.01E+12,,,,,,,2010.11.04
2218.24,10812.4385,2.01E+12,,,,,,,2010.11.04
2217.27,10812.4371,2.01E+12,,,,,,,2010.11.04
2216.3,10812.4358,2.01E+12,,,,,,,2010.11.04
2215.33,10812.4345,2.01E+12,,,,,,,2010.11.04
2214.37,10812.4333,2.01E+12,,,,,,,2010.11.04
2213.4,10812.4321,2.01E+12,,,,,,,2010.11.05
948.83,11381.5731,2.01E+12,,,,,,,2010.11.06
949.07,11381.57,2.01E+12,,,,,,,2010.11.07
949.32,11381.5669,2.01E+12,,,,,,,2010.11.08
949.56,11381.5638,2.01E+12,,,,,,,2010.11.09
949.81,11381.5607,2.01E+12,,,,,,,2010.11.10
950.05,11381.5577,2.01E+12,,,,,,,2010.11.11
950.3,11381.5548,2.01E+12,,,,,,,2010.11.12
950.54,11381.5518,2.01E+12,,,,,,,2010.11.13
950.78,11381.5489,2.01E+12,,,,,,,2010.11.14
951.03,11381.546,2.01E+12,,,,,,,2010.11.15
951.27,11381.5432,2.01E+12,,,,,,,2010.11.16
951.52,11381.5404,2.01E+12,,,,,,,2010.11.17
951.76,11381.5376,2.01E+12,,,,,,,2010.11.18
952.01,11381.5349,2.01E+12,,,,,,,2010.11.19
952.25,11381.5321,2.01E+12,,,,,,,2010.11.20
952.5,11381.5295,2.01E+12,,,,,,,2010.11.21
952.74,11381.5268,2.01E+12,,,,,,,2010.11.22
952.98,11381.5242,2.01E+12,,,,,,,2010.11.23
953.23,11381.5217,2.01E+12,,,,,,,2010.11.24
