Latitude,Longitude,Time,Thick,Elevation,Frame,Surface,Bottom,Quality,Date
68.67125,-33.1408,40367.76,604.91,1089.08,2.00E+12,626.35,1231.26,1,5/23/2001
68.67202,-33.1438,40368.76,611.28,1096.08,2.00E+12,623.37,1234.66,1,5/23/2001
68.67278,-33.1469,40369.78,611.37,1104.24,2.00E+12,620.52,1231.89,1,5/23/2001
68.67353,-33.1499,40370.78,594.77,1111.24,2.00E+12,617.74,1212.51,1,5/23/2001
66.96761,-49.0651,42305.4,989.44,1830.8,2.00E+12,825.07,1814.51,0,5/24/2001
66.96748,-49.0619,42306.4,1007.33,1832.8,2.00E+12,825.12,1832.44,0,5/24/2001
66.96734,-49.0586,42307.4,1019.46,1834,2.00E+12,825.03,1844.5,0,5/24/2001
66.96721,-49.0554,42308.4,1019.28,1834.8,2.00E+12,824.75,1844.03,0,5/24/2001
66.89495,-34.5217,41434.08,366.76,1677.84,2.00E+12,590.35,957.11,0,5/21/2001
66.89427,-34.5243,41435.07,377.49,1676.86,2.00E+12,591.42,968.91,0,5/21/2001
66.8936,-34.5269,41436.08,396.53,1674.84,2.00E+12,592.31,988.85,0,5/21/2001
66.89295,-34.5296,41437.07,426.28,1672.72,2.00E+12,592.97,1019.24,0,5/21/2001
66.8923,-34.5323,41438.08,500,1668.84,2.00E+12,593.3,1093.3,0,5/21/2001
75.76892,-44.1491,45808.41,2942.35,3428.214,2.00E+12,556.22,3498.57,1,5/18/2002
75.76885,-44.1486,45808.51,2942.53,3428.227,2.00E+12,556.23,3498.77,1,5/18/2002
75.76879,-44.1481,45808.61,2942.73,3428.239,2.00E+12,556.23,3498.96,1,5/18/2002
75.76873,-44.1476,45808.7,2942.94,3428.251,2.00E+12,556.25,3499.19,1,5/18/2002
75.76867,-44.1472,45808.8,2943.2,3428.264,2.00E+12,556.26,3499.47,1,5/18/2002
77.17837,-26.3034,42689.22,234.45,4023.804,2.00E+12,2442.81,2677.26,1,5/24/2002
77.17838,-26.304,42689.31,237.16,4023.824,2.00E+12,2442.81,2679.98,1,5/24/2002
77.17839,-26.3046,42689.4,239.78,4023.844,2.00E+12,2442.81,2682.6,1,5/24/2002
77.17841,-26.3052,42689.5,242.14,4023.864,2.00E+12,2442.81,2684.96,1,5/24/2002
77.17842,-26.3058,42689.59,244.1,4023.893,2.00E+12,2442.81,2686.91,1,5/24/2002
77.17843,-26.3064,42689.68,245.49,4023.922,2.00E+12,2442.81,2688.3,1,5/24/2002
72.78104,-39.8831,51309.01,3081.98,3696.434,2.00E+12,515.44,3597.42,1,5/29/2002
72.7811,-39.8835,51309.1,3082.01,3696.371,2.00E+12,515.47,3597.47,1,5/29/2002
72.78116,-39.8839,51309.19,3082,3696.308,2.00E+12,515.55,3597.55,1,5/29/2002
72.78122,-39.8843,51309.29,3081.98,3696.245,2.00E+12,515.64,3597.63,1,5/29/2002
