LAT,LON,TIME,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
-78.038051,164.011441,-13666.6563,  0.00,3343.9102,2013111901001,2569.14,2569.14,1
-78.038159,164.010249,-13666.4298,  0.00,3344.9197,2013111901001,2563.87,2563.87,1
-78.038265,164.009074,-13666.2033,  0.00,3345.9230,2013111901001,2558.59,2558.59,1
-78.038372,164.007882,-13665.9768,  0.00,3346.9517,2013111901001,2553.31,2553.31,1
-78.038480,164.006689,-13665.7503,  0.00,3347.9940,2013111901001,2548.04,2548.04,1
-78.038587,164.005497,-13665.5237,  0.00,3349.0518,2013111901001,2542.76,2542.76,1
-78.038693,164.004322,-13665.2971,  0.00,3350.1112,2013111901001,2537.49,2537.49,1
-78.038800,164.003130,-13665.0704,  0.00,3351.2032,2013111901001,2532.21,2532.21,1
-78.038907,164.001938,-13664.8437,  0.00,3352.3121,2013111901001,2526.94,2526.94,1
-78.039013,164.000755,-13664.6169,  0.00,3353.4283,2013111901001,2521.67,2521.67,1
-78.039120,163.999564,-13664.3902,  0.00,3354.5647,2013111901001,2516.01,2516.01,1
-78.039226,163.998381,-13664.1633,  0.00,3355.7008,2013111901001,2510.28,2510.28,1
-78.039333,163.997189,-13663.9364,  0.00,3356.8480,2013111901001,2504.55,2504.55,1
-78.039440,163.995998,-13663.7095,  0.00,3357.9930,2013111901001,2498.83,2498.83,1
-78.039546,163.994815,-13663.4826,  0.00,3359.1239,2013111901001,2493.10,2493.10,1
-78.039652,163.993623,-13663.2556,  0.00,3360.2546,2013111901001,2487.37,2487.37,1
-78.039758,163.992432,-13663.0286,  0.00,3361.3759,2013111901001,2481.65,2481.65,1
-78.039865,163.991240,-13662.8016,  0.00,3362.4884,2013111901001,2458.42,2458.42,1
-78.039971,163.990048,-13662.5745,  0.00,3363.5937,2013111901001,2451.18,2451.18,1
-78.040076,163.988865,-13662.3474,  0.00,3364.6857,2013111901001,2449.51,2449.51,1
-78.040181,163.987682,-13662.1203,  0.00,3365.7734,2013111901001,2441.15,2441.15,1
-78.040287,163.986490,-13661.8931,  0.00,3366.8661,2013111901001,2445.06,2445.06,1
