Year,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec,,Average
1995,-13,-131,-161,-21,22,59,75,63,48,-18,-3,-60,,-11.66666667
1996,-75,-76,-70,-16,31,44,62,59,40,-23,-49,-45,,-9.833333333
1997,-51,-145,-113,-43,23,76,64,60,36,9,-32,-41,,-13.08333333
1998,-52,-143,-97,-6,22,63,81,68,47,-11,-48,-44,,-10
1999,-103,-121,-84,-7,-8,37,81,75,31,-7,-52,-64,,-18.5
2000,-75,-109,-99,-2,2,67,78,72,50,-16,-33,-44,,-9.083333333
2001,-99,-98,-67,-20,13,63,73,86,55,5,-39,-40,,-5.666666667
2002,-67,-130,-108,-52,36,52,68,61,56,1,-17,-35,,-11.25
2003,-26,-104,-60,-36,27,72,89,88,60,35,-35,-40,,5.833333333
2004,-52,-56,-94,-27,37,58,65,78,38,14,-20,-90,,-4.083333333
2005,-91,-38,-20,-13,21,71,88,76,37,-10,-14,-49,,4.833333333
2006,-106,-51,-32,-38,28,50,77,80,53,7,-59,-69,,-5
2007,-67,-22,-80,-41,10,63,95,89,38,-5,-34,-85,,-3.25
2008,-123,-133,-87,-11,32,60,97,76,34,-9,-32,-74,,-14.16666667
2009,-55,-54,-105,-32,7,53,80,78,31,-4,-69,-28,,-8.166666667
2010,-33,-12,-42,-10,58,75,83,98,72,25,11,-2,,26.91666667
2011,-53,-81,-92,-94,2,55,90,69,37,-23,-62,-84,,-19.66666667
2012,-86,-84,-113,-16,32,75,106,82,54,24,-32,-51,,-0.75
2013,-56,-74,-34,-13,-10,53,74,66,38,5,-42,-84,,-6.416666667
,,,,,,,,,,,,,,
AVG,-34.5,-102.5,-97.5,-17,6,56,74.5,64.5,43,-6.5,-22.5,-72,,
