Year	MONTH	EXTENT
1978	10	31.208
1978	11	174.677
1978	12	218.673
1979	1	231.21
1979	2	226.454
1979	3	261.471
1979	4	231.702
1979	5	207.853
1979	6	187.95
1979	7	164.98
1979	8	120.616
1979	9	105.767
1979	10	139.967
1979	11	164.146
1979	12	200.044
1980	1	237.79
1980	2	223.372
1980	3	256.661
1980	4	231.436
1980	5	206.889
1980	6	183.069
1980	7	161.601
1980	8	119.764
1980	9	115.006
1980	10	146.924
1980	11	170.743
1980	12	203.894
1981	1	238.555
1981	2	218.457
1981	3	234.473
1981	4	225.149
1981	5	220.826
1981	6	186.446
1981	7	154.065
1981	8	125.509
1981	9	107.077
1981	10	132.844
1981	11	163.935
1981	12	213.458
1982	1	227.651
1982	2	223.629
1982	3	256.702
1982	4	231.99
1982	5	209.598
1982	6	187.141
1982	7	165.873
1982	8	122.093
1982	9	109.526
1982	10	150.737
1982	11	174.412
1982	12	204.627
1983	1	239.079
1983	2	224.086
1983	3	241.279
1983	4	227.581
1983	5	215.861
1983	6	184.435
1983	7	158.554
1983	8	130.974
1983	9	110.919
1983	10	140.011
1983	11	171.915
1983	12	212.775
1984	1	217.099
1984	2	229.484
1984	3	233.763
1984	4	225.217
1984	5	217.227
1984	6	182.275
1984	7	149.663
1984	8	124.337
1984	9	102.078
1984	10	128.409
1984	11	162.623
1984	12	207.831
1985	1	220.873
1985	2	216.52
1985	3	254.175
1985	4	230.348
1985	5	211.101
1985	6	183.286
1985	7	155.913
1985	8	111.028
1985	9	100.465
1985	10	136.735
1985	11	165.368
1985	12	195.749
1986	1	238.234
1986	2	220.988
1986	3	238.642
1986	4	225.882
1986	5	214.073
1986	6	179.639
1986	7	152.197
1986	8	127.673
1986	9	111.16
1986	10	142.259
1986	11	171.799
1986	12	211.559
1987	1	224.547
1987	2	224.702
1987	3	253.055
1987	4	228.163
1987	5	206.144
1987	6	187.285
1987	7	165.321
1987	8	157.498
1987	9	218.361
1987	10	280.512
1987	11	336.721
1987	12	25.081
1988	1	286.719
1988	2	451.918
1988	3	494.674
1988	4	453.7
1988	5	420.387
1988	6	358.303
1988	7	304.069
1988	8	244.639
1988	9	221.07
1988	10	283.186
1988	11	339.925
1988	12	422.392
1989	1	463.599
1989	2	433.875
1989	3	478.122
1989	4	429.852
1989	5	404.368
1989	6	367.336
1989	7	314.021
1989	8	244.335
1989	9	210.25
1989	10	273.696
1989	11	333.457
1989	12	414.991
1990	1	458.261
1990	2	436.19
1990	3	491.869
1990	4	439.502
1990	5	410.001
1990	6	349.217
1990	7	286.645
1990	8	210.722
1990	9	184.284
1990	10	263.033
1990	11	332.256
1990	12	406.272
1991	1	445.278
1991	2	426.983
1991	3	477.9
1991	4	445.792
1991	5	417.667
1991	6	363.241
1991	7	294.935
1991	8	229.876
