"Year","RH_2M_%","Linear Regression: RH_2M_%"
"1900","2","-5.09526169328637"
"1901","","56.4232455304395"
"1902","","117.941752754165"
"1903","","179.460259977891"
"1904","","240.978767201617"
"1905","","302.497274425343"
"1906","","364.015781649069"
"1907","","425.534288872794"
"1908","","487.05279609652"
"1909","","548.571303320246"
"1910","","610.089810543972"
"1911","","671.608317767698"
"1912","","733.126824991424"
"1913","","794.645332215149"
"1914","","856.163839438875"
"1915","","917.682346662601"
"1916","","979.200853886327"
"1917","","1040.71936111005"
"1918","","1102.23786833378"
"1919","","1163.7563755575"
"1920","","1225.27488278123"
"1921","","1286.79339000496"
"1922","","1348.31189722868"
"1923","","1409.83040445241"
"1924","","1471.34891167613"
"1925","","1532.86741889986"
"1926","","1594.38592612359"
"1927","","1655.90443334731"
"1928","","1717.42294057104"
"1929","","1778.94144779476"
"1930","","1840.45995501849"
"1931","","1901.97846224221"
"1932","","1963.49696946594"
"1933","","2025.01547668967"
"1934","","2086.53398391339"
"1935","","2148.05249113712"
"1936","","2209.57099836084"
"1937","","2271.08950558457"
"1938","","2332.6080128083"
"1939","","2394.12652003202"
"1940","","2455.64502725575"
"1941","","2517.16353447947"
"1942","","2578.6820417032"
"1943","","2640.20054892692"
"1944","","2701.71905615065"
"1945","","2763.23756337438"
"1946","","2824.7560705981"
"1947","","2886.27457782183"
"1948","","2947.79308504555"
"1949","","3009.31159226928"
"1950","","3070.83009949301"
"1951","","3132.34860671673"
"1952","","3193.86711394046"
"1953","","3255.38562116418"
"1954","","3316.90412838791"
"1955","","3378.42263561163"
"1956","","3439.94114283536"
"1957","","3501.45965005909"
"1958","","3562.97815728281"
"1959","","3624.49666450654"
"1960","","3686.01517173026"
"1961","","3747.53367895399"
"1962","","3809.05218617772"
"1963","","3870.57069340144"
"1964","","3932.08920062517"
"1965","","3993.60770784889"
"1966","","4055.12621507262"
"1967","","4116.64472229634"
"1968","","4178.16322952007"
"1969","","4239.6817367438"
"1970","","4301.20024396752"
"1971","","4362.71875119125"
"1972","","4424.23725841497"
"1973","","4485.7557656387"
"1974","","4547.27427286243"
"1975","","4608.79278008615"
"1976","","4670.31128730988"
"1977","","4731.8297945336"
"1978","","4793.34830175733"
"1979","","4854.86680898105"
"1980","","4916.38531620478"
"1981","","4977.90382342851"
"1982","","5039.42233065223"
"1983","","5100.94083787596"
"1984","","5162.45934509968"
"1985","","5223.97785232341"
"1986","","5285.49635954714"
"1987","","5347.01486677086"
"1988","","5408.53337399459"
"1989","","5470.05188121831"
"1990","","5531.57038844204"
"1991","","5593.08889566576"
"1992","","5654.60740288949"
"1993","","5716.12591011322"
"1994","","5777.64441733694"
"1995","","5839.16292456067"
"1996","","5900.68143178439"
"1997","","5962.19993900812"
"1998","","6023.71844623185"
"1999","","6085.23695345557"
"2000","","6146.7554606793"
"2001","","6208.27396790302"
"2002","","6269.79247512675"
"2003","","6331.31098235047"
"2004","","6392.8294895742"
"2005","","6454.34799679793"
"2006","","6515.86650402165"
"2007","","6577.38501124538"
"2008","","6638.9035184691"
"2009","","6700.42202569283"
"2010","","6761.94053291656"
"2011","","6823.45904014028"
"2012","","6884.97754736401"
"2013","4941","6946.49605458773"
"2014","8760","7008.01456181146"
"2015","8759","7069.53306903518"
"2016","5688","7131.05157625891"
"2017","","7192.57008348264"
"2018","","7254.08859070636"
"2019","","7315.60709793009"
"2020","","7377.12560515381"
"2021","","7438.64411237754"
